away_team_id,away_team_name,away_team_score,home_team_id,home_team_name,home_team_score,match_id,match_period,match_competition,match_round,match_season,match_seasonId,match_skyId,match_status,match_type,match_venue_id,match_venue_location,match_venue_name,_c18,team_name,total_match_score
t72,RotherhamUnited,0,t38,HuddersfieldTown,0,e43eead6-9f8b-3d3f-954c-4bee5c36cefd,FullTime,SkyBetChampionship,41,Season2020/2021,2020,430191,result,Regular,54,Huddersfield,JohnSmith'sStadium,"",RotherhamUnited,0
t110,StokeCity,0,t41,BirminghamCity,2,76705206-cbd2-3d31-a7a1-b4c3a4ce1db5,FullTime,SkyBetChampionship,41,Season2020/2021,2020,430186,result,Regular,57,Birmingham,St.Andrew'sTrillionTrophyStadium,"",StokeCity,2
t102,LutonTown,3,t112,WycombeWanderers,1,54c06986-4985-3160-ac85-0745db586216,FullTime,SkyBetChampionship,41,Season2020/2021,2020,430196,result,Regular,3,Wycombe,AdamsPark,"",LutonTown,4
t91,Bournemouth,2,t38,HuddersfieldTown,1,80be0399-9766-32d9-895e-bc9fb2978703,FullTime,SkyBetChampionship,38,Season2020/2021,2020,430153,result,Regular,54,Huddersfield,JohnSmith'sStadium,"",Bournemouth,3
t80,SwanseaCity,2,t19,SheffieldWednesday,0,d4b3b983-2592-372c-a02a-87da98649c41,FullTime,SkyBetChampionship,29,Season2020/2021,2020,430051,result,Regular,41,Sheffield,Hillsborough,"",SwanseaCity,2
t52,QueensParkRangers,1,t72,RotherhamUnited,3,46f25fcf-ac50-32d0-ac33-ce1774ba97f0,FullTime,SkyBetChampionship,29,Season2020/2021,2020,430050,result,Regular,8148,Rotherham,AESSEALNewYorkStadium,"",QueensParkRangers,4
t9,CoventryCity,1,t72,RotherhamUnited,0,7ecf0c6d-5935-3947-80af-414aeb959267,FullTime,SkyBetChampionship,36,Season2020/2021,2020,430134,result,Regular,8148,Rotherham,AESSEALNewYorkStadium,"",CoventryCity,1
t24,DerbyCounty,1,t5,BlackburnRovers,2,a8ea17be-2c08-3365-b831-8a7599e476e3,FullTime,SkyBetChampionship,42,Season2020/2021,2020,430197,result,Regular,32,Blackburn,EwoodPark,"",DerbyCounty,3
t97,CardiffCity,1,t108,Reading,1,d908c070-5243-3fbc-92fc-8df56f75e5c9,FullTime,SkyBetChampionship,42,Season2020/2021,2020,430204,result,Regular,106,Reading,SelectCarLeasingStadium,"",CardiffCity,2
t103,Millwall,0,t94,Brentford,0,2f2681a9-87b1-3d5f-b1bd-7c1ad5c4ddb8,FullTime,SkyBetChampionship,42,Season2020/2021,2020,430198,result,Regular,14923,Brentford,BrentfordCommunityStadium,"",Millwall,0
t57,Watford,0,t102,LutonTown,1,d397afc5-aa3f-3cff-abd9-65ccdb835622,FullTime,SkyBetChampionship,42,Season2020/2021,2020,430200,result,Regular,100,Luton,KenilworthRoad,"",Watford,1
t52,QueensParkRangers,2,t25,Middlesbrough,1,b2d4f392-4b97-3045-ab91-aff0a072b638,FullTime,SkyBetChampionship,42,Season2020/2021,2020,430201,result,Regular,46,Middlesbrough,RiversideStadium,"",QueensParkRangers,3
t38,HuddersfieldTown,2,t17,NottinghamForest,0,5b7b3b7e-ff4b-3c5f-b71a-b91a8fead83d,FullTime,SkyBetChampionship,42,Season2020/2021,2020,430203,result,Regular,40,Nottingham,TheCityGround,"",HuddersfieldTown,2
t113,BristolCity,1,t19,SheffieldWednesday,1,4fe1cc17-bf52-3901-a442-f76200cd0cb7,FullTime,SkyBetChampionship,42,Season2020/2021,2020,430206,result,Regular,41,Sheffield,Hillsborough,"",BristolCity,2
t112,WycombeWanderers,2,t80,SwanseaCity,2,1790e62c-2b2a-32bd-afd1-c8980467fefa,FullTime,SkyBetChampionship,42,Season2020/2021,2020,430208,result,Regular,2867,Swansea,LibertyStadium,"",WycombeWanderers,4
t107,PrestonNorthEnd,0,t110,StokeCity,0,993acfc2-157f-3e9f-aa27-71f9dd57348f,FullTime,SkyBetChampionship,42,Season2020/2021,2020,430207,result,Regular,1,Stoke,bet365Stadium,"",PrestonNorthEnd,0
t91,Bournemouth,3,t45,NorwichCity,1,50eef8c6-866d-34d2-9f29-016af845fe38,FullTime,SkyBetChampionship,42,Season2020/2021,2020,430202,result,Regular,61,Norwich,CarrowRoad,"",Bournemouth,4
t41,BirminghamCity,1,t72,RotherhamUnited,0,a63bf287-b1a2-38ac-8f88-9400843b44ea,FullTime,SkyBetChampionship,42,Season2020/2021,2020,430205,result,Regular,8148,Rotherham,AESSEALNewYorkStadium,"",BirminghamCity,1
t37,Barnsley,0,t9,CoventryCity,2,5e3ce1e3-d3c3-3c57-b5ea-57db86b12ed5,FullTime,SkyBetChampionship,42,Season2020/2021,2020,430199,result,Regular,57,Birmingham,St.Andrew'sTrillionTrophyStadium,"",Barnsley,2
t97,CardiffCity,1,t94,Brentford,1,b518904a-abe1-331e-8ac1-aeae2eb7c414,FullTime,SkyBetChampionship,43,Season2020/2021,2020,430210,result,Regular,14923,Brentford,BrentfordCommunityStadium,"",CardiffCity,2
